data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5663002,706,SOM29138,29138,"27 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"AMISOM: African Union Mission in Somalia (2007-) (Burundi)",,8,28,"Eastern Africa",Somalia,"Middle Shabelle",Balcad,,Balad,2.35,45.3833,1,Twitter,Other,"27 July. Clashes occurred in Balad between AMISOM Burundi forces and Al Shabaab militants. Casualties reported.",0,1564426183,SOM
5663003,706,SOM29139,29139,"27 July 2019",2019,1,Battles,"Armed clash","Military Forces of Somaliland (2010-)",,1,"Militia (Col. Caare)",,3,13,"Eastern Africa",Somalia,Sanaag,"Ceel Afweyn",,"Karin Biyood",10.1499,46.1049,1,Twitter,Other,"27 July. At least two soldiers were killed when Somaliland military clashed with Colonel Carre forces in Karin Biyood.",2,1564426183,SOM
5663004,706,SOM29140,29140,"27 July 2019",2019,1,"Violence against civilians",Attack,"Al Shabaab",,2,"Civilians (Somalia)",,7,27,"Eastern Africa",Somalia,"Middle Juba",Saakow,,Saakow,1.6394,42.4522,1,Twitter,Other,"27 July. Al Shabaab militants executed a man they accused of committing witchcraft and rape in Saakow.",1,1564426183,SOM
5662998,706,SOM29134,29134,"26 July 2019",2019,1,Battles,"Armed clash","Military Forces of Somalia (2017-) National Intelligence and Security Agency",,1,"Military Forces of Somalia (2017-)",,1,11,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Marka,1.7131,44.7639,1,"Shabelle Media Network",Subnational,"26 July. Military soldiers clashed with forces from the intelligence wing of the military in Marka due to a dispute over Khat. Soldiers and civilians were killed. Unknown fatalities coded as 10.",10,1564426183,SOM
5662999,706,SOM29135,29135,"26 July 2019",2019,1,"Violence against civilians",Attack,"Military Forces of Kenya (2013-)",,8,"Civilians (Somalia)","Labour Group (Somalia)",7,78,"Eastern Africa",Somalia,Gedo,"Ceel Waaq",,"El Wak",2.7352,41.0177,3,"Shabelle Media Network",Subnational,"26 July. A truck driver heading from Somalia to Kenya was shot and wounded by Kenyan military at the Somali-Kenya border in the Gedo district. Motive unknown.",0,1564426183,SOM
5663000,706,SOM29136,29136,"26 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Military Forces of Somalia (2017-) Jubaland Security Force",,1,13,"Eastern Africa",Somalia,Bakool,Xudur,,Quraala,4.15,43.7709,2,"Local Source",Other,"26 July. Injuries reported after an IED targeted Somali security forces near Quraala.",0,1564426183,SOM
5663001,706,SOM29137,29137,"26 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)",,7,37,"Eastern Africa",Somalia,Gedo,Baardheere,,"Buulo Garas",2.3396,42.275,1,"Local Source",Other,"26 July. In Buulo Garas, a suspected UXO, exploded causing fatalities. Unknown fatalities coded as 10.",10,1564426183,SOM
5662989,706,SOM29125,29125,"25 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"AMISOM: African Union Mission in Somalia (2007-) (Ethiopia)",,8,38,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,Kismayo,-0.3603,42.5463,1,"Somali Memo",National,"25 July. Two explosions in Kismayo targeted Ethiopian troops of the AMISOM. The second occurred as the soldiers collected corpses from the first. Unknown fatalities coded as 10.",10,1564426183,SOM
5662990,706,SOM29126,29126,"25 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-) Jubaland Security Force",,1,12,"Eastern Africa",Somalia,"Lower Juba",Afmadow,,Afmadow,0.5172,42.071,1,"Local Source",Other,"25 July. Al Shabaab militants and Jubaland military forces clashed in Afmadow after Al Shabaab attacked the military forces.",0,1564426183,SOM
5662991,706,SOM29127,29127,"25 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"AMISOM: African Union Mission in Somalia (2007-)",,8,28,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Marka,1.7131,44.7639,1,"Local Source",Other,"25 July. AMISOM forces and Al Shabaab militants clashed in Marka. AMISOM forces were ambushed by the militants.",0,1564426183,SOM
5662992,706,SOM29128,29128,"25 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Qoryooley,,Qoryooley,1.7878,44.53,1,"Local Source",Other,"25 July. Al Shabaab militants attacked Somali military forces in Qoryooley.",0,1564426183,SOM
5662993,706,SOM29129,29129,"25 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"AMISOM: African Union Mission in Somalia (2007-)",,8,28,"Eastern Africa",Somalia,Banadir,Banadir,,Heliwa,2.0844,45.39,1,"Local Source",Other,"25 July. In Heliwa, a RCIED explosion targeted AMISOM forces. Al Shabaab took responsibility.",0,1564426183,SOM
5662995,706,SOM29131,29131,"25 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"AMISOM: African Union Mission in Somalia (2007-)",,8,38,"Eastern Africa",Somalia,"Middle Shabelle",Balcad,,Gololey,2.4492,45.3542,1,"Local Source",Other,"25 July. An AMISOM convoy was targeted by an IED in Gololey. Some injuries reported.",0,1564426183,SOM
5662996,706,SOM29132,29132,"25 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Middle Shabelle",Cadale,,"Geel Gub",2.9822,46.2872,1,"Local Source",Other,"25 July. Somali military forces and Al Shabaab militants clashed in Geel Gub. Injuries reported.",0,1564426183,SOM
5662997,706,SOM29133,29133,"25 July 2019",2019,1,Battles,"Armed clash","Macaswiley Militia",,3,"Al Shabaab",,2,23,"Eastern Africa",Somalia,"Middle Shabelle",Cadale,,Cadale,2.7603,46.3222,1,"Local Source",Other,"25 July. The Macawiisley militia attacked Al Shabaab militants in Cadale.",0,1564426183,SOM
5662979,706,SOM29115,29115,"24 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Ceel-Jaale,1.6804,44.7227,1,Twitter,Other,"24 July. Somali military forces repulsed attacks by Al-Shabaab militants on El-Jaalle military training facilities. Injuries were reported.",0,1564426183,SOM
5662980,706,SOM29116,29116,"24 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,K50,2.0054,44.9872,1,Twitter,Other,"24 July. Somali military forces repulsed attacks by Al-Shabaab militants near K50 in Ceel Salini. No casualties reported.",0,1564426183,SOM
5662981,706,SOM29117,29117,"24 July 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)","Government of Somalia (2017-)",7,37,"Eastern Africa",Somalia,Banadir,Banadir,,Wardhigley,2.0549,45.33,1,"Local Source",Other,"24 July. In Wardhigley six mortar rounds were shot targeting the Somalia presidential palace. Casualties reported.",0,1564426183,SOM
5662982,706,SOM29118,29118,"24 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Bariirre,2.0476,44.8975,1,"Local Source",Other,"24 July. Fighting broke out between Somali special forces and Al Shabaab militants in Bariire.",0,1564426183,SOM
5662983,706,SOM29119,29119,"24 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Civilians (Somalia)","Government of Somalia (2017-)",7,27,"Eastern Africa",Somalia,Banadir,Banadir,,Mogadishu,2.0414,45.3337,1,Twitter,Other,"24 July. Al Shabaab claimed it targeted the new UN envoy to Somalia in an explosion, which killed at least seven employees of the Mayor's office in Mogadishu.",7,1564426183,SOM
5662984,706,SOM29120,29120,"24 July 2019",2019,1,"Explosions/Remote violence",Grenade,"Unidentified Armed Group (Somalia)",,3,"Military Forces of Somalia (2017-)",,1,13,"Eastern Africa",Somalia,Bay,Baydhaba,,Mayafulka,3.1292,43.6977,2,"Local Source",Other,"24 July. Unidentified men hurled a hand grenade and injured Somali security forces near Manyafulka.",0,1564426183,SOM
5662985,706,SOM29121,29121,"24 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Military Forces of Somalia (2017-)",,1,13,"Eastern Africa",Somalia,Bay,"Buur Hakaba",,"Buur Xakaba",2.8049,44.0821,1,"Local Source",Other,"24 July. An IED detonated at a government military checkpoint in Buur Xakaba but caused no casualties.",0,1564426183,SOM
5662986,706,SOM29122,29122,"24 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Marka,1.7131,44.7639,2,"Local Source",Other,"24 July. Somali military forces and Al Shabaab militants engaged in a brief clash in Marka before the militants withdrew.",0,1564426183,SOM
5662987,706,SOM29123,29123,"24 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"AMISOM: African Union Mission in Somalia (2007-)",,8,28,"Eastern Africa",Somalia,"Middle Shabelle",Balcad,,Balad,2.35,45.3833,1,"Local Source",Other,"24 July. Al Shabaab militants attacked a AMISOM convoy in Balad.",0,1564426183,SOM
5662988,706,SOM29124,29124,"24 July 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Al Shabaab",,2,"AMISOM: African Union Mission in Somalia (2007-)",,8,28,"Eastern Africa",Somalia,"Middle Shabelle",Balcad,,Gololey,2.4492,45.3542,1,"Local Source",Other,"24 July. Suspected Al Shabaab militants fired PKMs and RPGs at an AMISOM base in Gololey.",0,1564426183,SOM
5662970,706,SOM29106,29106,"23 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"AMISOM: African Union Mission in Somalia (2007-)",,8,38,"Eastern Africa",Somalia,Gedo,Luuq,,Luuq,3.8,42.5446,1,"Local Source",Other,"23 July. In Luuq, an IED exploded targeting an AMISOM vehicle. Some injuries reported.",0,1564426183,SOM
5662971,706,SOM29107,29107,"23 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)",,7,37,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Afgooye,2.15,45.116,1,Twitter,Other,"23 July. In Afgooye, at least eight civilians were killed in an IED attack. Motive and attackers unknown.",8,1564426183,SOM
5662972,706,SOM29108,29108,"23 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","AMISOM: African Union Mission in Somalia (2007-)",,8,"AMISOM: African Union Mission in Somalia (2007-)",,8,88,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,"Bulo Burto",3.8519,45.5651,1,"Local Source",Other,"23 July. One AMISOM soldier were killed in Bulo Burto when one of their colleagues exploded the hand grenade he was holding. Unclear if the detonation was accidental or intentional.",1,1564426183,SOM
5662973,706,SOM29109,29109,"23 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Police Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,Banadir,Banadir,,Daynile,2.0581,45.3003,1,"Local Source",Other,"23 July. In Daynile, Al Shabaab militants shot and wounded police officers.",0,1564426183,SOM
5662974,706,SOM29110,29110,"23 July 2019",2019,1,"Explosions/Remote violence",Grenade,"Unidentified Armed Group (Somalia)",,3,"Military Forces of Somalia (2017-)",,1,13,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,Kismayo,-0.3603,42.5463,1,"Local Source",Other,"23 July. A hand grenade targeting a Somali military soldier's residence exploded in an open space in Kismayo.",0,1564426183,SOM
5662975,706,SOM29111,29111,"23 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Afgooye,2.15,45.116,1,"Local Source",Other,"23 July. Al Shabaab militants claimed to have killed a Somali military soldier in Afgooye.",1,1564426183,SOM
5662976,706,SOM29112,29112,"23 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"AMISOM: African Union Mission in Somalia (2007-)",,8,28,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Danow,1.7317,44.6253,1,"Local Source",Other,"23 July. In Danow, AMISOM forces reacted with gun shots after they were targeted by an explosion from Al Shabaab militants.",0,1564426183,SOM
5662977,706,SOM29113,29113,"23 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)",,7,37,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Waraaboole,2.2928,45.0764,1,"Local Source",Other,"23 July. In Waraaboole, several civilians inside a vehicle were targeted by a roadside IED explosion. Unknown fatalities coded at low estimate of 3.",3,1564426183,SOM
5662978,706,SOM29114,29114,"23 July 2019",2019,1,"Violence against civilians","Abduction/forced disappearance","Al Shabaab",,2,"Civilians (Somalia)",,7,27,"Eastern Africa",Somalia,"Middle Shabelle","Adan Yabaal",,"Adan Yabaal",3.5484,46.5459,1,"Local Source",Other,"23 July. In Adan Yabal, eight boys and four girls were abducted by Al Shabaab.",0,1564426183,SOM
5662964,706,SOM29100,29100,"22 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Civilians (Somalia)",,7,27,"Eastern Africa",Somalia,Banadir,Banadir,,Mogadishu,2.0414,45.3337,2,Twitter,Other,"22 July. A car bomb explosion in Mogadishu and killed 17 people. Al Shabaab claimed it.",17,1564426183,SOM
5662966,706,SOM29102,29102,"22 July 2019",2019,1,"Violence against civilians",Attack,"Unidentified Clan Militia (Somalia)",,4,"Civilians (Somalia)","Pastoralists (Somalia)",7,47,"Eastern Africa",Somalia,Mudug,Gaalkacyo,,Gaalkacyo,6.7697,47.4308,1,"Local Source",Other,"22 July. In Gaalkacyo, an unidentified person shot and wounded an individual at the pastoralists' shelter. It was a clan revenge.",0,1564426183,SOM
5662967,706,SOM29103,29103,"22 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,"Bulo Burto",3.8519,45.5651,1,"Local Source",Other,"22 July. In Bulo Burto, an Al Shabaab militant killed a Somali soldier and a rickshaw driver.",2,1564426183,SOM
5662968,706,SOM29104,29104,"22 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Baraawe,,Baraawe,1.1132,44.0297,1,"Local Source",Other,"22 July. Clashes occurred between Al Shabaab militants and Somali military forces after the former attacked the military's checkpoint in Baraawe.",0,1564426183,SOM
5662957,706,SOM29093,29093,"21 July 2019",2019,1,"Violence against civilians",Attack,"Military Forces of Kenya (2013-)",,8,"Civilians (Somalia)",,7,78,"Eastern Africa",Somalia,"Lower Juba",Badhaadhe,,"Ras Kamboni",-1.6375,41.5877,1,"Mustaqbal Radio",Subnational,"21 July. Kenyan military forces allegedly killed eight civilians inside a car in Ras Kamboni. Motive unknown.",8,1564426183,SOM
5662958,706,SOM29094,29094,"21 July 2019",2019,1,Battles,"Armed clash","Private Security Forces (Somalia)","Government of Somalia (2017-) Puntland State",8,"Private Security Forces (Somalia)","Government of Somalia (2017-) Puntland State",8,88,"Eastern Africa",Somalia,Nugaal,Garoowe,,Garowe,8.4064,48.4819,1,"Local Source",Other,"21 July. A security guard of the Puntland presidency was shot dead by his colleague in Garowe.",1,1564426183,SOM
5662959,706,SOM29095,29095,"21 July 2019",2019,1,"Violence against civilians",Attack,"Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)","Majeerteen-Omar Mahmud Sub-Clan Group (Somalia); Pastoralists (Somalia)",7,37,"Eastern Africa",Somalia,Mudug,Jariiban,,Jariiban,7.2135,48.851,2,"Local Source",Other,"21 July. In Laasa Dhere (no coordinates available; in the Jariiban sub-district), three pastoralists of the Majeerteen-Omar Mahmud Sub-Clan Group were shot and killed, while others were wounded by an unidentified group.",3,1564426183,SOM
5662961,706,SOM29097,29097,"21 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Afgooye,2.15,45.116,1,"Local Source",Other,"21 July. In Afgooye, Al Shabaab militants and Somali military forces exchanged gunfire. No fatalities reported.",0,1564426183,SOM
5662962,706,SOM29098,29098,"21 July 2019",2019,1,"Violence against civilians",Attack,"Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)",,7,37,"Eastern Africa",Somalia,"Middle Shabelle",Balcad,,Garsaale,2.6363,45.3732,1,"Local Source",Other,"21 July. In Garsaale, armed people killed and wounded several passengers in vehicle. Unknown fatalities coded at low estimate of 3.",3,1564426183,SOM
5613640,706,SOM29080,29080,"20 July 2019",2019,1,Battles,"Armed clash","Military Forces of Somalia (2017-)",,1,"Police Forces of Somalia (2017-)",,1,11,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,"Belet Weyne",4.736,45.2043,1,"Local Source",Other,"20 July. A soldier shot and killed a police officer, at a checkpoint in Belet Weyne.",1,1563826792,SOM
5613642,706,SOM29082,29082,"20 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,Banadir,Banadir,,Mogadishu,2.0414,45.3337,2,Twitter,Other,"20 July. An IED explosion that targeted a technical vehicle belonging to the Somali military was reported in the area of Defence Ministry in Mogadishu. Al Shabaab claimed responsibility and one soldier was killed.",1,1563826792,SOM
5613643,706,SOM29083,29083,"20 July 2019",2019,2,"Violence against civilians","Sexual violence","Unidentified Armed Group (Somalia)","Pastoralists (Somalia)",3,"Civilians (Somalia)","Women (Somalia)",7,37,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Mareerey,2.116,45.05,1,Twitter,Other,"On or before 20 July. A pastoralist allegedly raped and killed a 12 years old girl in Mareery. He was arrested by police.",1,1563826792,SOM
5662949,706,SOM29085,29085,"20 July 2019",2019,1,"Violence against civilians",Attack,"Police Forces of Somalia (2017-)",,1,"Civilians (Somalia)",,7,17,"Eastern Africa",Somalia,Bari,Bossaso,,Bosaso,11.2842,49.1816,1,"Local Source",Other,"20 July. In Bossaso, a police officer shot and injured two civilians. Motive unknown.",0,1564426183,SOM
5662950,706,SOM29086,29086,"20 July 2019",2019,1,Battles,"Armed clash","Military Forces of Somalia (2017-)",,1,"Al Shabaab",,2,12,"Eastern Africa",Somalia,Bakool,"Rab Dhuure",,"Rab Dhuure",4.3535,43.1616,1,"Local Source",Other,"20 July. In Rab Dhuure, Al Shabaab militants incurred fatalities when they were attacked by military forces. Unknown fatalities coded as 10.",10,1564426183,SOM
5662951,706,SOM29087,29087,"20 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"AMISOM: African Union Mission in Somalia (2007-)",,8,28,"Eastern Africa",Somalia,Gedo,Garbahaarey,,Garbahaarey,3.328,42.2199,1,"Local Source",Other,"20 July. After Al Shabaab militants attacked a village in Garbahaarey, AMISOM forces responded with gunfire. Children were wounded during the clash.",0,1564426183,SOM
5662952,706,SOM29088,29088,"20 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)",,7,37,"Eastern Africa",Somalia,Banadir,Banadir,,Wadajir,2.0462,45.3341,1,"Local Source",Other,"20 July. A UVIED attached to a private vehicle exploded in Wadajir.",0,1564426183,SOM
5662953,706,SOM29089,29089,"20 July 2019",2019,1,Battles,"Armed clash","Unidentified Armed Group (Somalia)",,3,"Military Forces of Somalia (2017-)",,1,13,"Eastern Africa",Somalia,Banadir,Banadir,,Daynile,2.0581,45.3003,1,"Local Source",Other,"20 July. Military forces of Somalia responded with gun fire after they were targeted by an IED in Daynile.",0,1564426183,SOM
5662954,706,SOM29090,29090,"20 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Police Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,Banadir,Banadir,,Daynile,2.0581,45.3003,1,"Local Source",Other,"20 July. A police officer was shot dead by Al Shabaab militants in Daynile.",1,1564426183,SOM
5662956,706,SOM29092,29092,"20 July 2019",2019,1,"Violence against civilians","Abduction/forced disappearance","Al Shabaab",,2,"Civilians (Somalia)",,7,27,"Eastern Africa",Somalia,"Middle Shabelle",Cadale,,Xaaji-Cali,2.9192,46.2173,1,"Local Source",Other,"20 July. In Xaaji Cali, Al Shabaab militants riding in pickup-trucks kidnapped several youth and took them to the forest.",0,1564426183,SOM
5613632,706,SOM29072,29072,"19 July 2019",2019,1,Battles,"Armed clash","Military Forces of Somalia (2017-)",,1,"Unidentified Armed Group (Somalia)",,3,13,"Eastern Africa",Somalia,Bay,Baydhaba,,"Buundo Midow",3.0906,43.8845,1,Twitter,Other,"19 July. Southwest security forces of Somalia killed one unidentified militant and detained others with IEDs in Midow.",1,1563826792,SOM
5613633,706,SOM29073,29073,"19 July 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of United States",,8,"Al Shabaab",,2,28,"Eastern Africa",Somalia,"Middle Juba",Jilib,,Kuunyo-Barrow,0.7946,43.3787,1,Twitter,Other,"19 July. In Kuunyo Barrow, an airstrike by carried out by suspected US forces targeted a senior Al Shabaab leader.",0,1563826792,SOM
5613634,706,SOM29074,29074,"19 July 2019",2019,1,Battles,"Armed clash","Military Forces of Somalia (2017-)",,1,"Al Shabaab",,2,12,"Eastern Africa",Somalia,Bay,Baydhaba,,Aawdiinle,3.1706,43.4099,1,Xinhua,International,"19 July. In Aawdiinle, at least three Al Shabaab militants were killed in a military operation by the Somali military forces.",3,1563826792,SOM
5613635,706,SOM29075,29075,"19 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-) National Intelligence and Security Agency",,1,12,"Eastern Africa",Somalia,Banadir,Banadir,,Hodan,2.0333,45.35,1,Calamada,Subnational,"19 July. Al Shabaab militants claim to have killed a Somali National Intelligence commander in Hodan.",1,1563826792,SOM
5613636,706,SOM29076,29076,"19 July 2019",2019,1,Battles,"Armed clash","Omar Mahmud Clan Militia (Somalia)","Pastoralists (Somalia)",4,"Hawiye-Sheikhal-Awqudub Sub-Clan Militia (Somalia)","Pastoralists (Somalia)",4,44,"Eastern Africa",Somalia,Mudug,Jariiban,,Jariiban,7.2135,48.851,1,"Local Source",Other,"19 July. Fatalities were reported when pastoralists from Omar Mohamud and Sheikhaal clans clashed in Jariiban over dispute related to grazing land. Unknown fatalities coded as 10.",10,1563826792,SOM
5613637,706,SOM29077,29077,"19 July 2019",2019,1,"Violence against civilians",Attack,"Al Shabaab",,2,"Civilians (Somalia)","Military Forces of Somalia (2017-)",7,27,"Eastern Africa",Somalia,Banadir,Banadir,,Dharkenley,2.0095,45.25,1,"Local Source",Other,"19 July. Al Shabaab militants claimed to have killed an off-duty soldier on his way home in Dharkenley.",1,1563826792,SOM
5613638,706,SOM29078,29078,"19 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)",,7,37,"Eastern Africa",Somalia,Banadir,Banadir,,Hodan,2.0333,45.35,1,"Local Source",Other,"19 July. An IED explosion targeted a pick-up vehicle in Hodan, some civilian passengers aboard a Tuk-Tuk were wounded.",0,1563826792,SOM
5613639,706,SOM29079,29079,"19 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Afgooye,2.15,45.116,1,"Local Source",Other,"19 July. Al Shabaab militants attacked Somali military forces in Afgooye.",0,1563826792,SOM
5613626,706,SOM29066,29066,"18 July 2019",2019,1,Battles,"Armed clash","Marehan-Reer Ahmed Sub-Clan Militia (Somalia)",,4,"Marehan-Muse Fiin Sub-Clan Militia (Somalia)",,4,44,"Eastern Africa",Somalia,Awdal,Borama,,Borama,9.9387,43.1839,1,"Local Source",Other,"18 July. In Borama, two sub clans of the Reer Ahmed and Muse Fiin clashed due to land disputes. Several were injured.",0,1563826792,SOM
5613627,706,SOM29067,29067,"18 July 2019",2019,1,"Violence against civilians",Attack,"Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)","Labour Group (Somalia)",7,37,"Eastern Africa",Somalia,Banadir,Banadir,,Hodan,2.0333,45.35,1,"Local Source",Other,"18 July. In Hodan, a barber was killed by armed assailants. Motive unknown.",1,1563826792,SOM
5613628,706,SOM29068,29068,"18 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"AMISOM: African Union Mission in Somalia (2007-)",,8,28,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Afgooye,2.15,45.116,1,"Local Source",Other,"18 July. In Afgooye, AMISOM forces clashed with Al Shabaab militants.",0,1563826792,SOM
5613629,706,SOM29069,29069,"18 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Hir-Shabelle Sub-Clan Militia (Somalia)",,4,24,"Eastern Africa",Somalia,"Middle Shabelle",Jowhar,,Jowhar,2.7809,45.4968,1,Calamada,Subnational,"18 July. An explosion targeting the Hir-Shabale militia in Jowhar by suspected Al Shabaab militants killed some of the militia. Unknown casualties coded as 10.",10,1563826792,SOM
5613630,706,SOM29070,29070,"18 July 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"AMISOM: African Union Mission in Somalia (2007-)",,8,28,"Eastern Africa",Somalia,Banadir,Banadir,,Mogadishu,2.0414,45.3337,2,Calamada,Subnational,"18 July. In the outskirts of Mogadishu, in Arbaow, AMISOM forces were targeted by Al Shabaab militants. Casualties reported.",0,1563826792,SOM
5613631,706,SOM29071,29071,"18 July 2019",2019,1,"Violence against civilians",Attack,"Al Shabaab",,2,"Civilians (Somalia)","Government of Somalia (2017-)",7,27,"Eastern Africa",Somalia,Banadir,Banadir,,"Hawl Wadaag",2.048,45.32,1,"Local Source",Other,"18 July. Two suspected Al Shabaab militants shot and killed a civil servant in Hawl Wadaag.",1,1563826792,SOM
5613620,706,SOM29060,29060,"17 July 2019",2019,1,Battles,"Armed clash","Abgal Clan Militia (Somalia)",,4,"Abgal Clan Militia (Somalia)",,4,44,"Eastern Africa",Somalia,"Middle Shabelle",Balcad,,Balcad,2.39,45.3833,2,"Local Source",Other,"17 July. Two sub-clans of the Abgal clashed northwest of Balcad over an alleged land dispute. Some combatants from both sides were killed. Unknown fatalities coded as 10.",10,1563826792,SOM
5613621,706,SOM29061,29061,"17 July 2019",2019,1,Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2017-)",,1,12,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Bariirre,2.0476,44.8975,1,"Local Source",Other,"17 July. Al Shabaab claimed responsibility for the IED attack in Bariire, during which, Somali military reacted with gun fire. Fatalities reported. Unknown fatalities coded as 10.",10,1563826792,SOM
